Exchange,Ticker,Company Name,PE,% of NCA,% of Cash,CA to Total Liabilities
OTC,WEBC,Webco Industries Inc.,1,23.19%,,1.7
SGX,AWE,SP Corporation Limited,877.5,33.90%,1640.19%,20.5
TSE,8046,Marufuji Sheet Piling Co. Ltd.,5.3,42.23%,,2.2
SGX,BAZ,Lion Asiapac Limited,,70.40%,,1.6
OTC,JLMC,JLM Couture Inc.,,45.88%,4771.60%,3.1
NASDAQ,TUSK,Mammoth Energy Services Inc.,1.2,48.11%,,1.6
TSE,7887,Nankai Plywood Co. Ltd.,3,51.02%,,3.8
LON,HDT,Holders Technology plc,13.7,52.63%,,3.2
JASDAQ,1793,Ohmoto Gumi Co. Ltd.,5.1,54.15%,,2.6
BIT,IRC,IRCE S.p.A.,20.2,55.55%,,1.9